1, 71
2, 62
3, 1
4, 48
5, 1
6, 63
7, 72
8, 71
9, 22
10, 1
11, 58
12, 66
13, 65
14, 48
15, 1
16, 69
17, 59
18, 62
19, 35
20, 1
21, 74
22, 75
23, 72
24, 50
25, 1
26, 18
27, 1
28, 19
29, 16
30, 24
31, 30
32, 1
33, 16
34, 60
35, 7
36, 1
37, 68
38, 70
39, 32
40, 31
41, 1
42, 78
43, 42
44, 72
45, 1
46, 72
47, 73
48, 74
49, 74
50, 48
51, 1
52, 15
53, 3
54, 26
55, 1
56, 71
57, 12
58, 26
59, 1
60, 74
61, 75
62, 63
63, 74
64, 57
65, 39
66, 25
67, 1
68, 74
69, 71
70, 72
71, 35
72, 1
73, 15
74, 3
75, 37
76, 26
77, 26
78, 1
79, 21
80, 53
81, 1
82, 44
83, 59
84, 1
85, 66
86, 61
87, 1
88, 66
89, 62
90, 38
91, 1
92, 68
93, 68
94, 47
95, 49
96, 1
97, 75
98, 74
99, 68
100, 71
101, 40
102, 36
103, 1
104, 56
105, 1
106, 75
107, 69
108, 75
109, 59
110, 39
111, 1
112, 70
113, 71
114, 34
115, 38
116, 1
117, 75
118, 32
119, 44
120, 1
121, 26
122, 64
123, 1
124, 56
125, 3
126, 65
127, 55
128, 4
129, 1
130, 59
131, 3
132, 56
133, 64
134, 4
135, 1
136, 37
137, 71
138, 42
139, 54
140, 66
141, 51
142, 66
143, 33
144, 31
145, 30
146, 73
147, 72
148, 16
149, 60
150, 66
151, 24
152, 75
153, 40
154, 65
155, 52
156, 76
157, 64
158, 37
159, 53
160, 37
161, 39
162, 38
163, 55
164, 30
165, 66
166, 57
167, 34
168, 1
169, 19
170, 1
171, 5
172, 22
173, 2
174, 17
175, 1
176, 68
177, 18
178, 36
179, 1
180, 72
181, 74
182, 67
183, 18
184, 45
185, 40
186, 1
187, 31
188, 1
189, 67
190, 1
191, 70
192, 64
193, 6
194, 48
195, 1
196, 72
197, 14
198, 27
199, 3
200, 62
201, 46
202, 50
203, 7
204, 20
205, 1
206, 41
207, 1
208, 64
209, 56
210, 56
211, 52
212, 40
213, 4
214, 48
215, 8
216, 40
217, 47
218, 43
219, 41
220, 55
221, 52
222, 48
223, 8
224, 9
225, 8
226, 54
227, 48
228, 53
229, 50
230, 54
231, 43
232, 37
233, 21
234, 38
235, 59
236, 48
237, 1
238, 58
239, 27
240, 27
241, 45
242, 1
243, 57
244, 53
245, 33
246, 22
247, 42
248, 26
249, 8
250, 4
251, 12
252, 4
253, 52
254, 61
255, 27
256, 29
257, 25
258, 38
259, 29
260, 4
261, 7
262, 3
263, 6
264, 1
265, 64
266, 44
267, 37
268, 2
269, 1
270, 75
271, 73
272, 71
273, 72
274, 76
275, 24
276, 1
277, 12
278, 39
279, 2
280, 17
281, 64
282, 6
283, 48
284, 1
285, 26
286, 45
287, 54
288, 3
289, 35
290, 42
291, 38
292, 36
293, 1
294, 67
295, 24
296, 44
297, 47
298, 43
299, 1
300, 63
301, 40
302, 60
303, 3
304, 6
305, 2
306, 1
307, 70
308, 75
309, 67
310, 1
311, 75
312, 72
313, 72
314, 68
315, 1
316, 5
317, 58
318, 2
319, 55
320, 36
321, 1
322, 43
323, 30
324, 6
325, 24
326, 3
327, 32
328, 31
329, 8
330, 29
331, 3
332, 25
333, 29
334, 11
335, 41
336, 6
337, 1
338, 59
339, 37
340, 2
341, 1
342, 73
343, 64
344, 70
345, 72
346, 73
347, 18
348, 1
349, 4
350, 38
351, 2
352, 30
353, 26
354, 32
355, 1
356, 73
357, 73
358, 74
359, 72
360, 70
361, 27
362, 9
363, 70
364, 69
365, 64
366, 73
367, 39
368, 47
369, 21
370, 61
371, 23
372, 26
373, 55
374, 15
375, 61
376, 25
377, 2
378, 1
379, 79
380, 1
381, 5
382, 33
383, 2
384, 75
385, 47
386, 1
387, 49
388, 41
389, 6
390, 24
391, 3
392, 13
393, 12
394, 22
395, 3
396, 1
397, 29
398, 3
399, 39
400, 37
401, 50
402, 3
403, 11
404, 3
405, 42
406, 40
407, 53
408, 3
409, 6
410, 7
411, 39
412, 28
413, 2
414, 1
415, 48
416, 1
417, 5
418, 42
